Question,Answer(s)
"[<div class=""qaDetailsContent"">
I am in the process of taking out a home equity loan on my property. I am the only person on the deed. The bank came back to me with the title and there are three judgements on my property under a person that I do not know. How does this happen and what can I do?
</div>, <div class=""small-12 columns qaDetailsContent"">
You will need to review the title report and provide to your title insurance company for them to contact the lender to clear any liens.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
You will need to review the title report and provide to your title insurance company for them to contact the lender to clear any liens.
</div>]"
"[<div class=""qaDetailsContent"">
I was offered a job listing properties on Facebook Marketplace as well as on a site called Anvil. I was wondering if that's a thing that needs a license to do. I don't know the person (we connected through an online job search site), and I don't have any property info yet. I guess it just seems too good to be true. I am in New York state, but I believe some of the properties are in other states as well. Can I do this and not get in any trouble? Thank you so much for your time!
</div>, <div class=""small-12 columns qaDetailsContent"">
I am changing your practice area to Real Estate Law in hopes you get some good answers from lawyers in that field.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
I am changing your practice area to Real Estate Law in hopes you get some good answers from lawyers in that field.
</div>]"
"[<div class=""qaDetailsContent"">
I am the seller of my property. I own the property no mortgage. Buyer will make a cash purchase accepting property “as is”. Should we have separate attorneys or one?
</div>, <div class=""small-12 columns qaDetailsContent"">
Sometimes, not often (and maybe never in NY; I have seen it once or twice in other jurisdictions) buyers and sellers use the same attorney.  In my opinion, both the parties and the attorneys are out of their minds to do so.  Maybe you can do that if the buyers and sellers are close family members and there are no issues, but if you need an attorney at all, you need your own,not one trying to represent conflicting interests.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
Sometimes, not often (and maybe never in NY; I have seen it once or twice in other jurisdictions) buyers and sellers use the same attorney.  In my opinion, both the parties and the attorneys are out of their minds to do so.  Maybe you can do that if the buyers and sellers are close family members and there are no issues, but if you need an attorney at all, you need your own,not one trying to represent conflicting interests.
</div>]"
"[<div class=""qaDetailsContent"">
I just bought a double and the tenant is avoiding me. She hasn't paid rent the past year due to Covid.
</div>, <div class=""small-12 columns qaDetailsContent"">
If the tenant has no lease, you are best off terminating the tenant. Depending on the length of time that the tenant has been in occupancy, you will either have to serve a 30, 60 or 90 day notice of termination. Once the notice expires you can start a holover eviction action to remove the tenant and collect the rental arrears owed to you.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
If the tenant has no lease, you are best off terminating the tenant. Depending on the length of time that the tenant has been in occupancy, you will either have to serve a 30, 60 or 90 day notice of termination. Once the notice expires you can start a holover eviction action to remove the tenant and collect the rental arrears owed to you.
</div>]"
"[<div class=""qaDetailsContent"">
question, 1. what kind of notice we need to send, 30 days or 90 days? 2. lease is expired by end of June, and they paid rent for July and August, if we try to evict them after that, should we accept rent in the future? 3. They told us there is leaky in house (the corner of garage) in the middle of August, is that our responsibility to repair? 4 the leaky is not too bad, we assume as long as they don't use the small bath room ( it has 2and half bath in house). The house has a lots of stuff and people. I am not sure if we can fully assess and fix the leaky w/o vacant. If we couldn't do it, will tenant use that to against us and suit us, or make judge to dismiss the eviction case.
</div>, <div class=""small-12 columns qaDetailsContent"">
You will have to have a process server  serve an appropriate 90 day notice of termination on your tenant. If the tenant doesn't vacate when the notice expires,  you eill then have to start a holdover eviction action against your tenant in Housing Court. While your tenant remains in occupancy you need to make all required repairs and continue to provide essential services. 
</div>]","[<div class=""small-12 columns qaDetailsContent"">
You will have to have a process server  serve an appropriate 90 day notice of termination on your tenant. If the tenant doesn't vacate when the notice expires,  you eill then have to start a holdover eviction action against your tenant in Housing Court. While your tenant remains in occupancy you need to make all required repairs and continue to provide essential services. 
</div>]"
"[<div class=""qaDetailsContent"">
I purchased my home in May of 2020, I now want to add my husband to the deed but I’m not sure how to go about it
</div>, <div class=""small-12 columns qaDetailsContent"">
Simply execute a new deed from yourself, individually, to yourself and your husband as tenants by the entirety (or tenants in common if you prefer).  It would be a good idea to then record the deed with the clerk of the county in which your home is located.
</div>, <div class=""small-12 columns qaDetailsContent"">
Simply execut3e a new deed from yourself individually to yourself and your husband as tenants by the entirety (or tenants in common, whichever you prefer).  It would be a good idea to then record the deed with the clerk of the county in which your house is located.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
Simply execute a new deed from yourself, individually, to yourself and your husband as tenants by the entirety (or tenants in common if you prefer).  It would be a good idea to then record the deed with the clerk of the county in which your home is located.
</div>, <div class=""small-12 columns qaDetailsContent"">
Simply execut3e a new deed from yourself individually to yourself and your husband as tenants by the entirety (or tenants in common, whichever you prefer).  It would be a good idea to then record the deed with the clerk of the county in which your house is located.
</div>]"
"[<div class=""qaDetailsContent"">
selling real estate.
</div>, <div class=""small-12 columns qaDetailsContent"">
Hi Rika:
 
We are very experienced commercial real estate attorneys. Please call me at your convenioence.
 
 
Thank You,Alan J. Goldberg, Esq.Goldberg &amp; Lindenberg, P.C.6 East 45th Street14th FloorNew York, New York   10017Telephone: (212)921-1600Agoldberg@glnylaw.com www.glnylaw.com
</div>]","[<div class=""small-12 columns qaDetailsContent"">
Hi Rika:
 
We are very experienced commercial real estate attorneys. Please call me at your convenioence.
 
 
Thank You,Alan J. Goldberg, Esq.Goldberg &amp; Lindenberg, P.C.6 East 45th Street14th FloorNew York, New York   10017Telephone: (212)921-1600Agoldberg@glnylaw.com www.glnylaw.com
</div>]"
"[<div class=""qaDetailsContent"">
married 1970 house in both names in 1977 , divorced in 1982. divorce papers say nothing about me having to sell house when my three children became of age .he nows wants his half of the house . wants a answer in 5-7days Need help
</div>, <div class=""small-12 columns qaDetailsContent"">
If your divorce decree is silent on the issue, he would need to bring a partition case, which could take years to resolve.  Nothing is happening in a week.  But, if you are both on title, he does have rights as an owner, unless the divorce decree changed them.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
If your divorce decree is silent on the issue, he would need to bring a partition case, which could take years to resolve.  Nothing is happening in a week.  But, if you are both on title, he does have rights as an owner, unless the divorce decree changed them.
</div>]"
"[<div class=""qaDetailsContent"">
need help with this process
</div>, <div class=""small-12 columns qaDetailsContent"">
Once you get a buyer call a lawyer like me.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
Once you get a buyer call a lawyer like me.
</div>]"
"[<div class=""qaDetailsContent"">
I have properties with surplus funds and I am looking to work with a potential attorney to help me collect these funds
</div>, <div class=""small-12 columns qaDetailsContent"">
I charge $5000 per case.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
I charge $5000 per case.
</div>]"
"[<div class=""qaDetailsContent"">
We are purchasing my late Aunt's home for rental property. Our offer was excepted by our cousin. We will be paying cash. Now what do we need to do?
</div>, <div class=""small-12 columns qaDetailsContent"">
You need a lawyer to do the transfer documents and you shoul dhave a title search and insurance to make sure you get clean title.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
You need a lawyer to do the transfer documents and you shoul dhave a title search and insurance to make sure you get clean title.
</div>]"
"[<div class=""qaDetailsContent"">
i have a property with surplus funds and i'm looking to work with an attorney to help me collect these funds
</div>, <div class=""small-12 columns qaDetailsContent"">
There is a clear procedure under the Real Property Actions and Proceedings law.  I do it on a flat fee.  Some lawyers charge a percentage, which is not warranted on larger surplus sums.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
There is a clear procedure under the Real Property Actions and Proceedings law.  I do it on a flat fee.  Some lawyers charge a percentage, which is not warranted on larger surplus sums.
</div>]"
"[<div class=""qaDetailsContent"">
We moved out of a house we rented more than 45 days ago. On day 45, we were given a certified letter stating we owed $10k in damages. The charges ore over blown and how do we know if he is renovating the house at our expense? Does he have provide receipts? Did he have to get estimates for work done or can he charge us no matter what the expense? We are being charged for things like a chip in the bathroom vanity. In the lease that we signed it states that we are receiving the property in good repair but what does that statement cover exactly?
</div>, <div class=""small-12 columns qaDetailsContent"">
The answer turns on whether you have posted the 10K in security and are trying to get it back, or are just being threatened.  If you have security, you are going to have to sue for it.  If you are being threatened, just deny the claims in writing with a certified letter, and do nothing.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
The answer turns on whether you have posted the 10K in security and are trying to get it back, or are just being threatened.  If you have security, you are going to have to sue for it.  If you are being threatened, just deny the claims in writing with a certified letter, and do nothing.
</div>]"
"[<div class=""qaDetailsContent"">
In my homeowners association everyone owns their townhome and the land it is on. Homeowners are responsible for their own property maintenance. Even though all homeowners have their own homeowners insurance, our insurance company is advising that if someone gets hurt in say my driveway...that both myself AND the homeowners association can be sued. Therefore, we are being told that our association needs liability insurance that covers everyone's property (in additon to the common areas). Is this correct?
</div>, <div class=""small-12 columns qaDetailsContent"">
The association should have insurance, but it is probably not expensive.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
The association should have insurance, but it is probably not expensive.
</div>]"
[],[]
[],[]
"[<div class=""qaDetailsContent"">
I am selling my house on my own and have a buyer. Do I get a lawyer or do I need a relator first?
</div>, <div class=""small-12 columns qaDetailsContent"">
If you have a buyer you do not need a broker.  A realtor/broker finds buyers and you did that yourself.  A lawyer is a good idea as the seller drafts the contract first.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
If you have a buyer you do not need a broker.  A realtor/broker finds buyers and you did that yourself.  A lawyer is a good idea as the seller drafts the contract first.
</div>]"
"[<div class=""qaDetailsContent"">
House foreclosed and sold at auction there were a small amount of funds left iver
</div>, <div class=""small-12 columns qaDetailsContent"">
I do not know what small is, but I charge a $5000 flat fee for this process.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
I do not know what small is, but I charge a $5000 flat fee for this process.
</div>]"
"[<div class=""qaDetailsContent"">
I am a dual citizen (PHIL-AM) living here in NY USA. The condo unit company told that they will not be able to turn over a fully paid unit unless I submit my original oath of allegiance. I only have one copy of those and I even inquire the Philippine Consulate of NY and told me not to give original copy, just a certified true copy but the condo company told that they do not accept if not the original copy. The Philippine consulate told to provide them a contact person and they will email this person but unfortunately they never reply at all. It is just hard to be far from Philippines dealing with this kind of issue. I want my unit to be turn over. Your help or any lawyer recommended will be truly appreciated
</div>, <div class=""small-12 columns qaDetailsContent"">
This whole thing makes no sense.  I have never heard of such a request.  The condo is in NY?
</div>]","[<div class=""small-12 columns qaDetailsContent"">
This whole thing makes no sense.  I have never heard of such a request.  The condo is in NY?
</div>]"
"[<div class=""qaDetailsContent"">
I live in a mother and daughter house owned by my mother and grandmother. My mother did a reverse mortgage and now doesn't want the house. My children and I have been living in the house paying the household bills. I even offered to pay the taxes. Last week she told me she putting the house on the market and we have to leave. Is there anything I can do to?
</div>, <div class=""small-12 columns qaDetailsContent"">
No.  You are just a tenant with no lease.  Negotiate with her.  She will get a better price delivering the house vacant.  You can screw up the sale by refusing to leave and then she would have to evict you in court.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
No.  You are just a tenant with no lease.  Negotiate with her.  She will get a better price delivering the house vacant.  You can screw up the sale by refusing to leave and then she would have to evict you in court.
</div>]"
"[<div class=""qaDetailsContent"">
My husband filed Chapter 13 individually to stop foreclosure and contracted to do a short sale. We no longer want to go through with the short sale and we need help negotiating terms with the bank so we can stay in our home.
</div>, <div class=""small-12 columns qaDetailsContent"">
A short sale contract is like any other contract.  It is enforceable.  If the bank is willing to do it and clear title at closing, you are going to have to do it.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
A short sale contract is like any other contract.  It is enforceable.  If the bank is willing to do it and clear title at closing, you are going to have to do it.
</div>]"
"[<div class=""qaDetailsContent"">
I need to transfer the deed of my browntone from myself to my sole member llc , what would the consideration be on the deed , its a contribution to my LLC
</div>, <div class=""small-12 columns qaDetailsContent"">
Just put in $1.  It is not a market value sale but merely an ownership change.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
Just put in $1.  It is not a market value sale but merely an ownership change.
</div>]"
"[<div class=""qaDetailsContent"">
My daughter is a tenant in an apartment building &amp; the tenant under her keeps calling the landlord complaining that my daughters 9 month old baby makes too much noise so the landlord told my daughter to quiet her baby or she will have no choice but to evict her. My daughter read over her lease &amp; there is nothing in there stating that she can evict a tenant for making noise during the day. Can the landlord do this?? What are my daughters rights as a tenant? She lives in Endicott, NY.
</div>, <div class=""small-12 columns qaDetailsContent"">
Her rights are under the lease.  A baby is not likely a nuisance that could cause eviction.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
Her rights are under the lease.  A baby is not likely a nuisance that could cause eviction.
</div>]"
"[<div class=""qaDetailsContent"">
I have a tenant that constantly does not get along with her 2 other room mates. In the last 8 months I have been through 6 different room mates for that 0ne apartment because of her. She remained. This is during a 1 year lease term. Every roommate wants to break their lease because they don't get along with her. She acts like she owns the apartment, her way or the highway, like an army general. She smokes weed all day long... Now one more roommate wants to leave because of her. When ever a person leaves or wants to break their lease they have to find a replacement roommates to take over there portion of their lease but now I am just fed up with her. I want her out. What I want to no is this: If the original 3 roommates signed a lease together and the lease is broken because of the conflict but the roommates that broke the lease find replacement roommates who hasn't signed a lease yet, is the original lease still valid for the troublemaker roommate?
</div>, <div class=""small-12 columns qaDetailsContent"">
It depends on the lease terms.  Likely it is valid.  You are going to have to evict in court for violating sone term of the lease.  Once you terminate, you cannot take rent money.  That is your bind.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
It depends on the lease terms.  Likely it is valid.  You are going to have to evict in court for violating sone term of the lease.  Once you terminate, you cannot take rent money.  That is your bind.
</div>]"
"[<div class=""qaDetailsContent"">
reverse mortgage
</div>, <div class=""small-12 columns qaDetailsContent"">
Reverse mortgages are basically scams.  There is no business sense to do it.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
Reverse mortgages are basically scams.  There is no business sense to do it.
</div>]"
"[<div class=""qaDetailsContent"">
I own 2 adjacent 5 acre lots. One has our current home on it with a small HELOC still on it. I want to move the property line of the adjacent vacant lot up a bit and use a small amount (1 acre) of the land that the home is on, and will be building another house on the vacant land. Can I move and re-deed the property line with the HELOC lien still open?
</div>, <div class=""small-12 columns qaDetailsContent"">
While it is a technical default under the HELOC to transfer the title, you can do it if you are giving it to someone who does not care (like a family member).  However, you have bigger issues.  If you are building another house and selling it, you need to create a separate tax lot, which requires filings with the town to make a subdivision.  Also, a third party will require the HELOC to be paid off.  The HELOC people will not carve out property from the lien.  Also, you will need permits, etc., for the construction.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
While it is a technical default under the HELOC to transfer the title, you can do it if you are giving it to someone who does not care (like a family member).  However, you have bigger issues.  If you are building another house and selling it, you need to create a separate tax lot, which requires filings with the town to make a subdivision.  Also, a third party will require the HELOC to be paid off.  The HELOC people will not carve out property from the lien.  Also, you will need permits, etc., for the construction.
</div>]"
"[<div class=""qaDetailsContent"">
It appears the condominium association I just became a member of does not have a federal ID number?
</div>, <div class=""small-12 columns qaDetailsContent"">
The association would have to have an ID.  How did they open a bank account?
</div>]","[<div class=""small-12 columns qaDetailsContent"">
The association would have to have an ID.  How did they open a bank account?
</div>]"
"[<div class=""qaDetailsContent"">
Bought a home over a month ago, since moving in there has been no gas or heat on the first floor National grid refuse service because of violations found with the wiring I am left in the cold and nothing has been done , I made several contact with the lawyer and nothing is being done.
</div>, <div class=""small-12 columns qaDetailsContent"">
As to seller, likely no but it depends on the contract.  As to your lawyer, the violations should have appeared on the title report.  The question is what happened after that.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
As to seller, likely no but it depends on the contract.  As to your lawyer, the violations should have appeared on the title report.  The question is what happened after that.
</div>]"
"[<div class=""qaDetailsContent"">
Grandma life use on property, given to Son..he deeded the land to son he died son with mom still retain ownership..grandma assigns her interest to son an daughter....does it end at Grandmas death or at the son and daughters death
</div>, <div class=""small-12 columns qaDetailsContent"">
A life estate lasts until the life tenant dies.  I cannot fully follow your post, but if the grandma is still alive, she can assign her life tenancy to someone else, but only for her life.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
A life estate lasts until the life tenant dies.  I cannot fully follow your post, but if the grandma is still alive, she can assign her life tenancy to someone else, but only for her life.
</div>]"
